Year,rank,Realized CEO compensation,Granted CEO compensation,Decades,rank1,Avg. Realized CEO compensation,Avg. Granted CEO compensation
2019,216,320,222.8,,,,
1965,217,21.1,15.4,,,,
1966,217,22.3,16.3,,,,
1967,217,23.6,17.3,,,,
1968,217,24.8,18.2,,,,
1969,217,24.6,18,,,,
1970,217,24.3,17.8,,,,
1971,217,24,17.6,,,,
1972,217,23.7,17.4,,,,
1973,217,23.4,17.2,,,,
1974,217,25,18.3,,,,
1975,217,26.6,19.5,,,,
1976,217,28.2,20.7,,,,
1977,217,29.8,21.8,,,,
1978,217,31.4,23,,,,
1979,217,34.1,25,,,,
1980,217,36.9,27,,,,
1981,217,39.6,29,,,,
1982,217,42.3,31,,,,
1983,217,45,33,,,,
1984,217,47.8,35,,,,
1985,217,50.5,37,,,,
1986,217,53.2,39,,,,
1987,217,55.9,41,,,,
1988,217,58.7,43,,,,
1989,217,61.4,45,,,,
1990,217,77.3,56.6,,,,
1991,217,93.1,68.2,,,,
1992,217,109,79.8,,,,
1993,217,108.6,99.6,,,,
1994,217,87.4,116.6,,,,
1995,217,117.6,131,,,,
1996,217,150.6,177,,,,
1997,217,223.4,234.1,,,,
1998,217,297.4,293.4,,,,
1999,217,266.1,284.4,,,,
2000,217,365.7,386.1,,,,
2001,217,210.6,322.6,,,,
2002,217,186.8,235,,,,
2003,217,228.8,227,,,,
2004,217,265.7,235,,,,
2005,217,318.4,244.5,,,,
2006,217,328.2,244.1,,,,
2007,217,330.9,242,,,,
2008,217,206.7,219.4,,,,
2009,217,177.6,178.3,,,,
2010,217,213.1,202.8,,,,
2011,217,242.4,208.1,,,,
2012,217,371.7,201.3,,,,
2013,217,318.5,209.7,,,,
2014,217,326.6,217.2,,,,
2015,217,318.8,209.5,,,,
2016,217,271.6,205.8,,,,
2017,217,302.1,193.2,,,,
2018,217,293.3,212.3,,,,
2019,217,320,222.8,,,,
1965,218,21.1,15.4,,,,
1966,218,22.3,16.3,,,,
1967,218,23.6,17.3,,,,
1968,218,24.8,18.2,,,,
1969,218,24.6,18,,,,
1970,218,24.3,17.8,,,,
1971,218,24,17.6,,,,
1972,218,23.7,17.4,,,,
1973,218,23.4,17.2,,,,
1974,218,25,18.3,,,,
1975,218,26.6,19.5,,,,
1976,218,28.2,20.7,,,,
1977,218,29.8,21.8,,,,
1978,218,31.4,23,,,,
1979,218,34.1,25,,,,
1980,218,36.9,27,,,,
1981,218,39.6,29,,,,
1982,218,42.3,31,,,,
1983,218,45,33,,,,
1984,218,47.8,35,,,,
1985,218,50.5,37,,,,
1986,218,53.2,39,,,,
1987,218,55.9,41,,,,
1988,218,58.7,43,,,,
1989,218,61.4,45,,,,
1990,218,77.3,56.6,,,,
1991,218,93.1,68.2,,,,
1992,218,109,79.8,,,,
1993,218,108.6,99.6,,,,
1994,218,87.4,116.6,,,,
1995,218,117.6,131,,,,
1996,218,150.6,177,,,,
1997,218,223.4,234.1,,,,
1998,218,297.4,293.4,,,,
1999,218,266.1,284.4,,,,
2000,218,365.7,386.1,,,,
2001,218,210.6,322.6,,,,
2002,218,186.8,235,,,,
2003,218,228.8,227,,,,
2004,218,265.7,235,,,,
2005,218,318.4,244.5,,,,
2006,218,328.2,244.1,,,,
2007,218,330.9,242,,,,
2008,218,206.7,219.4,,,,
2009,218,177.6,178.3,,,,
2010,218,213.1,202.8,,,,
2011,218,242.4,208.1,,,,
2012,218,371.7,201.3,,,,
2013,218,318.5,209.7,,,,
2014,218,326.6,217.2,,,,
2015,218,318.8,209.5,,,,
2016,218,271.6,205.8,,,,
2017,218,302.1,193.2,,,,
2018,218,293.3,212.3,,,,
2019,218,320,222.8,,,,
1965,219,21.1,15.4,,,,
1966,219,22.3,16.3,,,,
1967,219,23.6,17.3,,,,
1968,219,24.8,18.2,,,,
1969,219,24.6,18,,,,
1970,219,24.3,17.8,,,,
1971,219,24,17.6,,,,
1972,219,23.7,17.4,,,,
1973,219,23.4,17.2,,,,
1974,219,25,18.3,,,,
1975,219,26.6,19.5,,,,
1976,219,28.2,20.7,,,,
1977,219,29.8,21.8,,,,
1978,219,31.4,23,,,,
1979,219,34.1,25,,,,
1980,219,36.9,27,,,,
1981,219,39.6,29,,,,
1982,219,42.3,31,,,,
1983,219,45,33,,,,
1984,219,47.8,35,,,,
1985,219,50.5,37,,,,
1986,219,53.2,39,,,,
1987,219,55.9,41,,,,
1988,219,58.7,43,,,,
1989,219,61.4,45,,,,
1990,219,77.3,56.6,,,,
1991,219,93.1,68.2,,,,
1992,219,109,79.8,,,,
1993,219,108.6,99.6,,,,
1994,219,87.4,116.6,,,,
1995,219,117.6,131,,,,
1996,219,150.6,177,,,,
1997,219,223.4,234.1,,,,
1998,219,297.4,293.4,,,,
1999,219,266.1,284.4,,,,
2000,219,365.7,386.1,,,,
2001,219,210.6,322.6,,,,
2002,219,186.8,235,,,,
2003,219,228.8,227,,,,
2004,219,265.7,235,,,,
2005,219,318.4,244.5,,,,
2006,219,328.2,244.1,,,,
2007,219,330.9,242,,,,
2008,219,206.7,219.4,,,,
2009,219,177.6,178.3,,,,
2010,219,213.1,202.8,,,,
2011,219,242.4,208.1,,,,
2012,219,371.7,201.3,,,,
2013,219,318.5,209.7,,,,
2014,219,326.6,217.2,,,,
2015,219,318.8,209.5,,,,
2016,219,271.6,205.8,,,,
2017,219,302.1,193.2,,,,
2018,219,293.3,212.3,,,,
2019,219,320,222.8,,,,
1965,220,21.1,15.4,,,,
1966,220,22.3,16.3,,,,
1967,220,23.6,17.3,,,,
1968,220,24.8,18.2,,,,
1969,220,24.6,18,,,,
1970,220,24.3,17.8,,,,
1971,220,24,17.6,,,,
1972,220,23.7,17.4,,,,
1973,220,23.4,17.2,,,,
1974,220,25,18.3,,,,
1975,220,26.6,19.5,,,,
1976,220,28.2,20.7,,,,
1977,220,29.8,21.8,,,,
1978,220,31.4,23,,,,
1979,220,34.1,25,,,,
1980,220,36.9,27,,,,
1981,220,39.6,29,,,,
1982,220,42.3,31,,,,
1983,220,45,33,,,,
1984,220,47.8,35,,,,
1985,220,50.5,37,,,,
1986,220,53.2,39,,,,
1987,220,55.9,41,,,,
1988,220,58.7,43,,,,
1989,220,61.4,45,,,,
1990,220,77.3,56.6,,,,
1991,220,93.1,68.2,,,,
1992,220,109,79.8,,,,
1993,220,108.6,99.6,,,,
1994,220,87.4,116.6,,,,
1995,220,117.6,131,,,,
1996,220,150.6,177,,,,
1997,220,223.4,234.1,,,,
1998,220,297.4,293.4,,,,
1999,220,266.1,284.4,,,,
2000,220,365.7,386.1,,,,
2001,220,210.6,322.6,,,,
2002,220,186.8,235,,,,
2003,220,228.8,227,,,,
2004,220,265.7,235,,,,
2005,220,318.4,244.5,,,,
2006,220,328.2,244.1,,,,
2007,220,330.9,242,,,,
2008,220,206.7,219.4,,,,
2009,220,177.6,178.3,,,,
2010,220,213.1,202.8,,,,
2011,220,242.4,208.1,,,,
2012,220,371.7,201.3,,,,
2013,220,318.5,209.7,,,,
2014,220,326.6,217.2,,,,
2015,220,318.8,209.5,,,,
2016,220,271.6,205.8,,,,
2017,220,302.1,193.2,,,,
2018,220,293.3,212.3,,,,
2019,220,320,222.8,,,,
1965,221,21.1,15.4,,,,
1966,221,22.3,16.3,,,,
1967,221,23.6,17.3,,,,
1968,221,24.8,18.2,,,,
1969,221,24.6,18,,,,
1970,221,24.3,17.8,,,,
1971,221,24,17.6,,,,
1972,221,23.7,17.4,,,,
1973,221,23.4,17.2,,,,
1974,221,25,18.3,,,,
1975,221,26.6,19.5,,,,
1976,221,28.2,20.7,,,,
1977,221,29.8,21.8,,,,
1978,221,31.4,23,,,,
1979,221,34.1,25,,,,
1980,221,36.9,27,,,,
1981,221,39.6,29,,,,
1982,221,42.3,31,,,,
1983,221,45,33,,,,
1984,221,47.8,35,,,,
1985,221,50.5,37,,,,
1986,221,53.2,39,,,,
1987,221,55.9,41,,,,
1988,221,58.7,43,,,,
1989,221,61.4,45,,,,
1990,221,77.3,56.6,,,,
1991,221,93.1,68.2,,,,
1992,221,109,79.8,,,,
1993,221,108.6,99.6,,,,
1994,221,87.4,116.6,,,,
1995,221,117.6,131,,,,
1996,221,150.6,177,,,,
1997,221,223.4,234.1,,,,
1998,221,297.4,293.4,,,,
1999,221,266.1,284.4,,,,
2000,221,365.7,386.1,,,,
2001,221,210.6,322.6,,,,
2002,221,186.8,235,,,,
2003,221,228.8,227,,,,
2004,221,265.7,235,,,,
2005,221,318.4,244.5,,,,
2006,221,328.2,244.1,,,,
2007,221,330.9,242,,,,
2008,221,206.7,219.4,,,,
2009,221,177.6,178.3,,,,
2010,221,213.1,202.8,,,,
2011,221,242.4,208.1,,,,
2012,221,371.7,201.3,,,,
2013,221,318.5,209.7,,,,
2014,221,326.6,217.2,,,,
2015,221,318.8,209.5,,,,
2016,221,271.6,205.8,,,,
2017,221,302.1,193.2,,,,
2018,221,293.3,212.3,,,,
2019,221,320,222.8,,,,
1965,222,21.1,15.4,,,,
1966,222,22.3,16.3,,,,
1967,222,23.6,17.3,,,,
1968,222,24.8,18.2,,,,
1969,222,24.6,18,,,,
1970,222,24.3,17.8,,,,
1971,222,24,17.6,,,,
1972,222,23.7,17.4,,,,
1973,222,23.4,17.2,,,,
1974,222,25,18.3,,,,
1975,222,26.6,19.5,,,,
1976,222,28.2,20.7,,,,
1977,222,29.8,21.8,,,,
1978,222,31.4,23,,,,
1979,222,34.1,25,,,,
1980,222,36.9,27,,,,
1981,222,39.6,29,,,,
1982,222,42.3,31,,,,
1983,222,45,33,,,,
1984,222,47.8,35,,,,
1985,222,50.5,37,,,,
1986,222,53.2,39,,,,
1987,222,55.9,41,,,,
1988,222,58.7,43,,,,
1989,222,61.4,45,,,,
1990,222,77.3,56.6,,,,
1991,222,93.1,68.2,,,,
1992,222,109,79.8,,,,
1993,222,108.6,99.6,,,,
1994,222,87.4,116.6,,,,
1995,222,117.6,131,,,,
1996,222,150.6,177,,,,
1997,222,223.4,234.1,,,,
1998,222,297.4,293.4,,,,
1999,222,266.1,284.4,,,,
2000,222,365.7,386.1,,,,
2001,222,210.6,322.6,,,,
2002,222,186.8,235,,,,
2003,222,228.8,227,,,,
2004,222,265.7,235,,,,
2005,222,318.4,244.5,,,,
2006,222,328.2,244.1,,,,
2007,222,330.9,242,,,,
2008,222,206.7,219.4,,,,
2009,222,177.6,178.3,,,,
2010,222,213.1,202.8,,,,
2011,222,242.4,208.1,,,,
2012,222,371.7,201.3,,,,
2013,222,318.5,209.7,,,,
2014,222,326.6,217.2,,,,
2015,222,318.8,209.5,,,,
2016,222,271.6,205.8,,,,
2017,222,302.1,193.2,,,,
2018,222,293.3,212.3,,,,
2019,222,320,222.8,,,,
1965,223,21.1,15.4,,,,
1966,223,22.3,16.3,,,,
1967,223,23.6,17.3,,,,
1968,223,24.8,18.2,,,,
1969,223,24.6,18,,,,
1970,223,24.3,17.8,,,,
1971,223,24,17.6,,,,
1972,223,23.7,17.4,,,,
1973,223,23.4,17.2,,,,
1974,223,25,18.3,,,,
1975,223,26.6,19.5,,,,
1976,223,28.2,20.7,,,,
1977,223,29.8,21.8,,,,
1978,223,31.4,23,,,,
1979,223,34.1,25,,,,
1980,223,36.9,27,,,,
1981,223,39.6,29,,,,
1982,223,42.3,31,,,,
1983,223,45,33,,,,
1984,223,47.8,35,,,,
1985,223,50.5,37,,,,
1986,223,53.2,39,,,,
1987,223,55.9,41,,,,
1988,223,58.7,43,,,,
1989,223,61.4,45,,,,
1990,223,77.3,56.6,,,,
1991,223,93.1,68.2,,,,
1992,223,109,79.8,,,,
1993,223,108.6,99.6,,,,
1994,223,87.4,116.6,,,,
1995,223,117.6,131,,,,
1996,223,150.6,177,,,,
1997,223,223.4,234.1,,,,
1998,223,297.4,293.4,,,,
1999,223,266.1,284.4,,,,
2000,223,365.7,386.1,,,,
2001,223,210.6,322.6,,,,
2002,223,186.8,235,,,,
2003,223,228.8,227,,,,
2004,223,265.7,235,,,,
2005,223,318.4,244.5,,,,
2006,223,328.2,244.1,,,,
2007,223,330.9,242,,,,
2008,223,206.7,219.4,,,,
2009,223,177.6,178.3,,,,
2010,223,213.1,202.8,,,,
2011,223,242.4,208.1,,,,
2012,223,371.7,201.3,,,,
2013,223,318.5,209.7,,,,
2014,223,326.6,217.2,,,,
2015,223,318.8,209.5,,,,
2016,223,271.6,205.8,,,,
2017,223,302.1,193.2,,,,
2018,223,293.3,212.3,,,,
2019,223,320,222.8,,,,
1965,224,21.1,15.4,,,,
1966,224,22.3,16.3,,,,
1967,224,23.6,17.3,,,,
1968,224,24.8,18.2,,,,
1969,224,24.6,18,,,,
1970,224,24.3,17.8,,,,
1971,224,24,17.6,,,,
1972,224,23.7,17.4,,,,
1973,224,23.4,17.2,,,,
1974,224,25,18.3,,,,
1975,224,26.6,19.5,,,,
1976,224,28.2,20.7,,,,
1977,224,29.8,21.8,,,,
1978,224,31.4,23,,,,
1979,224,34.1,25,,,,
1980,224,36.9,27,,,,
1981,224,39.6,29,,,,
1982,224,42.3,31,,,,
1983,224,45,33,,,,
1984,224,47.8,35,,,,
1985,224,50.5,37,,,,
1986,224,53.2,39,,,,
1987,224,55.9,41,,,,
1988,224,58.7,43,,,,
1989,224,61.4,45,,,,
1990,224,77.3,56.6,,,,
1991,224,93.1,68.2,,,,
1992,224,109,79.8,,,,
1993,224,108.6,99.6,,,,
1994,224,87.4,116.6,,,,
1995,224,117.6,131,,,,
1996,224,150.6,177,,,,
1997,224,223.4,234.1,,,,
1998,224,297.4,293.4,,,,
1999,224,266.1,284.4,,,,
2000,224,365.7,386.1,,,,
2001,224,210.6,322.6,,,,
2002,224,186.8,235,,,,
2003,224,228.8,227,,,,
2004,224,265.7,235,,,,
2005,224,318.4,244.5,,,,
2006,224,328.2,244.1,,,,
2007,224,330.9,242,,,,
2008,224,206.7,219.4,,,,
2009,224,177.6,178.3,,,,
2010,224,213.1,202.8,,,,
2011,224,242.4,208.1,,,,
2012,224,371.7,201.3,,,,
2013,224,318.5,209.7,,,,
2014,224,326.6,217.2,,,,
2015,224,318.8,209.5,,,,
2016,224,271.6,205.8,,,,
2017,224,302.1,193.2,,,,
2018,224,293.3,212.3,,,,
2019,224,320,222.8,,,,
1965,225,21.1,15.4,,,,
1966,225,22.3,16.3,,,,
1967,225,23.6,17.3,,,,
1968,225,24.8,18.2,,,,
1969,225,24.6,18,,,,
1970,225,24.3,17.8,,,,
1971,225,24,17.6,,,,
1972,225,23.7,17.4,,,,
1973,225,23.4,17.2,,,,
1974,225,25,18.3,,,,
1975,225,26.6,19.5,,,,
1976,225,28.2,20.7,,,,
1977,225,29.8,21.8,,,,
1978,225,31.4,23,,,,
1979,225,34.1,25,,,,
1980,225,36.9,27,,,,
1981,225,39.6,29,,,,
1982,225,42.3,31,,,,
1983,225,45,33,,,,
1984,225,47.8,35,,,,
1985,225,50.5,37,,,,
1986,225,53.2,39,,,,
1987,225,55.9,41,,,,
1988,225,58.7,43,,,,
1989,225,61.4,45,,,,
1990,225,77.3,56.6,,,,
1991,225,93.1,68.2,,,,
1992,225,109,79.8,,,,
1993,225,108.6,99.6,,,,
1994,225,87.4,116.6,,,,
1995,225,117.6,131,,,,
1996,225,150.6,177,,,,
1997,225,223.4,234.1,,,,
1998,225,297.4,293.4,,,,
1999,225,266.1,284.4,,,,
2000,225,365.7,386.1,,,,
2001,225,210.6,322.6,,,,
2002,225,186.8,235,,,,
2003,225,228.8,227,,,,
2004,225,265.7,235,,,,
2005,225,318.4,244.5,,,,
2006,225,328.2,244.1,,,,
2007,225,330.9,242,,,,
2008,225,206.7,219.4,,,,
2009,225,177.6,178.3,,,,
2010,225,213.1,202.8,,,,
2011,225,242.4,208.1,,,,
2012,225,371.7,201.3,,,,
2013,225,318.5,209.7,,,,
2014,225,326.6,217.2,,,,
2015,225,318.8,209.5,,,,
2016,225,271.6,205.8,,,,
2017,225,302.1,193.2,,,,
2018,225,293.3,212.3,,,,
2019,225,320,222.8,,,,
1965,226,21.1,15.4,,,,
1966,226,22.3,16.3,,,,
1967,226,23.6,17.3,,,,
1968,226,24.8,18.2,,,,
1969,226,24.6,18,,,,
1970,226,24.3,17.8,,,,
1971,226,24,17.6,,,,
1972,226,23.7,17.4,,,,
1973,226,23.4,17.2,,,,
1974,226,25,18.3,,,,
1975,226,26.6,19.5,,,,
1976,226,28.2,20.7,,,,
1977,226,29.8,21.8,,,,
1978,226,31.4,23,,,,
1979,226,34.1,25,,,,
1980,226,36.9,27,,,,
1981,226,39.6,29,,,,
1982,226,42.3,31,,,,
1983,226,45,33,,,,
1984,226,47.8,35,,,,
1985,226,50.5,37,,,,
1986,226,53.2,39,,,,
1987,226,55.9,41,,,,
1988,226,58.7,43,,,,
1989,226,61.4,45,,,,
1990,226,77.3,56.6,,,,
1991,226,93.1,68.2,,,,
1992,226,109,79.8,,,,
1993,226,108.6,99.6,,,,
1994,226,87.4,116.6,,,,
1995,226,117.6,131,,,,
1996,226,150.6,177,,,,
1997,226,223.4,234.1,,,,
1998,226,297.4,293.4,,,,
1999,226,266.1,284.4,,,,
2000,226,365.7,386.1,,,,
2001,226,210.6,322.6,,,,
2002,226,186.8,235,,,,
2003,226,228.8,227,,,,
2004,226,265.7,235,,,,
2005,226,318.4,244.5,,,,
2006,226,328.2,244.1,,,,
2007,226,330.9,242,,,,
2008,226,206.7,219.4,,,,
2009,226,177.6,178.3,,,,
2010,226,213.1,202.8,,,,
2011,226,242.4,208.1,,,,
2012,226,371.7,201.3,,,,
2013,226,318.5,209.7,,,,
2014,226,326.6,217.2,,,,
2015,226,318.8,209.5,,,,
2016,226,271.6,205.8,,,,
2017,226,302.1,193.2,,,,
2018,226,293.3,212.3,,,,
2019,226,320,222.8,,,,
1965,227,21.1,15.4,,,,
1966,227,22.3,16.3,,,,
1967,227,23.6,17.3,,,,
1968,227,24.8,18.2,,,,
1969,227,24.6,18,,,,
1970,227,24.3,17.8,,,,
1971,227,24,17.6,,,,
1972,227,23.7,17.4,,,,
1973,227,23.4,17.2,,,,
1974,227,25,18.3,,,,
1975,227,26.6,19.5,,,,
1976,227,28.2,20.7,,,,
1977,227,29.8,21.8,,,,
1978,227,31.4,23,,,,
1979,227,34.1,25,,,,
1980,227,36.9,27,,,,
1981,227,39.6,29,,,,
1982,227,42.3,31,,,,
1983,227,45,33,,,,
1984,227,47.8,35,,,,
1985,227,50.5,37,,,,
1986,227,53.2,39,,,,
1987,227,55.9,41,,,,
1988,227,58.7,43,,,,
1989,227,61.4,45,,,,
1990,227,77.3,56.6,,,,
1991,227,93.1,68.2,,,,
1992,227,109,79.8,,,,
1993,227,108.6,99.6,,,,
1994,227,87.4,116.6,,,,
1995,227,117.6,131,,,,
1996,227,150.6,177,,,,
1997,227,223.4,234.1,,,,
1998,227,297.4,293.4,,,,
1999,227,266.1,284.4,,,,
2000,227,365.7,386.1,,,,
2001,227,210.6,322.6,,,,
2002,227,186.8,235,,,,
2003,227,228.8,227,,,,
2004,227,265.7,235,,,,
2005,227,318.4,244.5,,,,
2006,227,328.2,244.1,,,,
2007,227,330.9,242,,,,
2008,227,206.7,219.4,,,,
2009,227,177.6,178.3,,,,
2010,227,213.1,202.8,,,,
2011,227,242.4,208.1,,,,
2012,227,371.7,201.3,,,,
2013,227,318.5,209.7,,,,
2014,227,326.6,217.2,,,,
2015,227,318.8,209.5,,,,
2016,227,271.6,205.8,,,,
2017,227,302.1,193.2,,,,
2018,227,293.3,212.3,,,,
2019,227,320,222.8,,,,
1965,228,21.1,15.4,,,,
1966,228,22.3,16.3,,,,
1967,228,23.6,17.3,,,,
1968,228,24.8,18.2,,,,
1969,228,24.6,18,,,,
1970,228,24.3,17.8,,,,
1971,228,24,17.6,,,,
1972,228,23.7,17.4,,,,
1973,228,23.4,17.2,,,,
1974,228,25,18.3,,,,
1975,228,26.6,19.5,,,,
1976,228,28.2,20.7,,,,
1977,228,29.8,21.8,,,,
1978,228,31.4,23,,,,
1979,228,34.1,25,,,,
1980,228,36.9,27,,,,
1981,228,39.6,29,,,,
1982,228,42.3,31,,,,
1983,228,45,33,,,,
1984,228,47.8,35,,,,
1985,228,50.5,37,,,,
1986,228,53.2,39,,,,
1987,228,55.9,41,,,,
1988,228,58.7,43,,,,
1989,228,61.4,45,,,,
1990,228,77.3,56.6,,,,
1991,228,93.1,68.2,,,,
1992,228,109,79.8,,,,
1993,228,108.6,99.6,,,,
1994,228,87.4,116.6,,,,
1995,228,117.6,131,,,,
1996,228,150.6,177,,,,
1997,228,223.4,234.1,,,,
1998,228,297.4,293.4,,,,
1999,228,266.1,284.4,,,,
2000,228,365.7,386.1,,,,
2001,228,210.6,322.6,,,,
2002,228,186.8,235,,,,
2003,228,228.8,227,,,,
2004,228,265.7,235,,,,
2005,228,318.4,244.5,,,,
2006,228,328.2,244.1,,,,
2007,228,330.9,242,,,,
2008,228,206.7,219.4,,,,
2009,228,177.6,178.3,,,,
2010,228,213.1,202.8,,,,
2011,228,242.4,208.1,,,,
2012,228,371.7,201.3,,,,
2013,228,318.5,209.7,,,,
2014,228,326.6,217.2,,,,
2015,228,318.8,209.5,,,,
2016,228,271.6,205.8,,,,
2017,228,302.1,193.2,,,,
2018,228,293.3,212.3,,,,
2019,228,320,222.8,,,,
1965,229,21.1,15.4,,,,
1966,229,22.3,16.3,,,,
1967,229,23.6,17.3,,,,
1968,229,24.8,18.2,,,,
1969,229,24.6,18,,,,
1970,229,24.3,17.8,,,,
1971,229,24,17.6,,,,
1972,229,23.7,17.4,,,,
1973,229,23.4,17.2,,,,
1974,229,25,18.3,,,,
1975,229,26.6,19.5,,,,
1976,229,28.2,20.7,,,,
1977,229,29.8,21.8,,,,
1978,229,31.4,23,,,,
1979,229,34.1,25,,,,
1980,229,36.9,27,,,,
1981,229,39.6,29,,,,
1982,229,42.3,31,,,,
1983,229,45,33,,,,
1984,229,47.8,35,,,,
1985,229,50.5,37,,,,
1986,229,53.2,39,,,,
1987,229,55.9,41,,,,
1988,229,58.7,43,,,,
1989,229,61.4,45,,,,
1990,229,77.3,56.6,,,,
1991,229,93.1,68.2,,,,
1992,229,109,79.8,,,,
1993,229,108.6,99.6,,,,
1994,229,87.4,116.6,,,,
1995,229,117.6,131,,,,
1996,229,150.6,177,,,,
1997,229,223.4,234.1,,,,
1998,229,297.4,293.4,,,,
1999,229,266.1,284.4,,,,
2000,229,365.7,386.1,,,,
2001,229,210.6,322.6,,,,
2002,229,186.8,235,,,,
2003,229,228.8,227,,,,
2004,229,265.7,235,,,,
2005,229,318.4,244.5,,,,
2006,229,328.2,244.1,,,,
2007,229,330.9,242,,,,
2008,229,206.7,219.4,,,,
2009,229,177.6,178.3,,,,
2010,229,213.1,202.8,,,,
2011,229,242.4,208.1,,,,
2012,229,371.7,201.3,,,,
2013,229,318.5,209.7,,,,
2014,229,326.6,217.2,,,,
2015,229,318.8,209.5,,,,
2016,229,271.6,205.8,,,,
2017,229,302.1,193.2,,,,
2018,229,293.3,212.3,,,,
2019,229,320,222.8,,,,
1965,230,21.1,15.4,,,,
1966,230,22.3,16.3,,,,
1967,230,23.6,17.3,,,,
1968,230,24.8,18.2,,,,
1969,230,24.6,18,,,,
1970,230,24.3,17.8,,,,
1971,230,24,17.6,,,,
1972,230,23.7,17.4,,,,
1973,230,23.4,17.2,,,,
1974,230,25,18.3,,,,
1975,230,26.6,19.5,,,,
1976,230,28.2,20.7,,,,
1977,230,29.8,21.8,,,,
1978,230,31.4,23,,,,
1979,230,34.1,25,,,,
1980,230,36.9,27,,,,
1981,230,39.6,29,,,,
1982,230,42.3,31,,,,
1983,230,45,33,,,,
1984,230,47.8,35,,,,
1985,230,50.5,37,,,,
1986,230,53.2,39,,,,
1987,230,55.9,41,,,,
1988,230,58.7,43,,,,
1989,230,61.4,45,,,,
1990,230,77.3,56.6,,,,
1991,230,93.1,68.2,,,,
1992,230,109,79.8,,,,
1993,230,108.6,99.6,,,,
1994,230,87.4,116.6,,,,
1995,230,117.6,131,,,,
1996,230,150.6,177,,,,
1997,230,223.4,234.1,,,,
1998,230,297.4,293.4,,,,
1999,230,266.1,284.4,,,,
2000,230,365.7,386.1,,,,
2001,230,210.6,322.6,,,,
2002,230,186.8,235,,,,
2003,230,228.8,227,,,,
2004,230,265.7,235,,,,
2005,230,318.4,244.5,,,,
2006,230,328.2,244.1,,,,
2007,230,330.9,242,,,,
2008,230,206.7,219.4,,,,
2009,230,177.6,178.3,,,,
2010,230,213.1,202.8,,,,
2011,230,242.4,208.1,,,,
2012,230,371.7,201.3,,,,
2013,230,318.5,209.7,,,,
2014,230,326.6,217.2,,,,
2015,230,318.8,209.5,,,,
2016,230,271.6,205.8,,,,
2017,230,302.1,193.2,,,,
2018,230,293.3,212.3,,,,
2019,230,320,222.8,,,,
1965,231,21.1,15.4,,,,
1966,231,22.3,16.3,,,,
1967,231,23.6,17.3,,,,
1968,231,24.8,18.2,,,,
1969,231,24.6,18,,,,
1970,231,24.3,17.8,,,,
1971,231,24,17.6,,,,
1972,231,23.7,17.4,,,,
1973,231,23.4,17.2,,,,
1974,231,25,18.3,,,,
1975,231,26.6,19.5,,,,
1976,231,28.2,20.7,,,,
1977,231,29.8,21.8,,,,
1978,231,31.4,23,,,,
1979,231,34.1,25,,,,
1980,231,36.9,27,,,,
1981,231,39.6,29,,,,
1982,231,42.3,31,,,,
1983,231,45,33,,,,
1984,231,47.8,35,,,,
1985,231,50.5,37,,,,
1986,231,53.2,39,,,,
1987,231,55.9,41,,,,
1988,231,58.7,43,,,,
1989,231,61.4,45,,,,
1990,231,77.3,56.6,,,,
1991,231,93.1,68.2,,,,
1992,231,109,79.8,,,,
1993,231,108.6,99.6,,,,
1994,231,87.4,116.6,,,,
1995,231,117.6,131,,,,
1996,231,150.6,177,,,,
1997,231,223.4,234.1,,,,
1998,231,297.4,293.4,,,,
1999,231,266.1,284.4,,,,
2000,231,365.7,386.1,,,,
2001,231,210.6,322.6,,,,
2002,231,186.8,235,,,,
2003,231,228.8,227,,,,
2004,231,265.7,235,,,,
2005,231,318.4,244.5,,,,
2006,231,328.2,244.1,,,,
2007,231,330.9,242,,,,
2008,231,206.7,219.4,,,,
2009,231,177.6,178.3,,,,
2010,231,213.1,202.8,,,,
2011,231,242.4,208.1,,,,
2012,231,371.7,201.3,,,,
2013,231,318.5,209.7,,,,
2014,231,326.6,217.2,,,,
2015,231,318.8,209.5,,,,
2016,231,271.6,205.8,,,,
2017,231,302.1,193.2,,,,
2018,231,293.3,212.3,,,,
2019,231,320,222.8,,,,
1965,232,21.1,15.4,,,,
1966,232,22.3,16.3,,,,
1967,232,23.6,17.3,,,,
1968,232,24.8,18.2,,,,
1969,232,24.6,18,,,,
1970,232,24.3,17.8,,,,
1971,232,24,17.6,,,,
1972,232,23.7,17.4,,,,
1973,232,23.4,17.2,,,,
1974,232,25,18.3,,,,
1975,232,26.6,19.5,,,,
1976,232,28.2,20.7,,,,
1977,232,29.8,21.8,,,,
1978,232,31.4,23,,,,
1979,232,34.1,25,,,,
1980,232,36.9,27,,,,
1981,232,39.6,29,,,,
1982,232,42.3,31,,,,
1983,232,45,33,,,,
1984,232,47.8,35,,,,
1985,232,50.5,37,,,,
1986,232,53.2,39,,,,
1987,232,55.9,41,,,,
1988,232,58.7,43,,,,
1989,232,61.4,45,,,,
1990,232,77.3,56.6,,,,
1991,232,93.1,68.2,,,,
1992,232,109,79.8,,,,
1993,232,108.6,99.6,,,,
1994,232,87.4,116.6,,,,
1995,232,117.6,131,,,,
1996,232,150.6,177,,,,
1997,232,223.4,234.1,,,,
1998,232,297.4,293.4,,,,
1999,232,266.1,284.4,,,,
2000,232,365.7,386.1,,,,
2001,232,210.6,322.6,,,,
2002,232,186.8,235,,,,
